DATE,RA,DEC
2016-Dec-04 18:40 , 250.62997 , -26.58397
2016-Dec-04 18:41 , 252.19773 , -24.59636
2016-Dec-04 18:42 , 253.67213 , -22.48047
2016-Dec-04 18:43 , 255.04681 , -20.21334
2016-Dec-04 18:44 , 256.31188 , -17.7631
2016-Dec-04 18:45 , 257.45221 , -15.08477
2016-Dec-04 18:46 , 258.44457 , -12.11371
2016-Dec-04 18:47 , 259.25278 , -8.75468
2016-Dec-04 18:48 , 259.8189 , -4.86331
2016-Dec-04 18:49 , 260.04588 , -0.21357
2016-Dec-04 18:50 , 259.76094 , 5.55989
2016-Dec-04 18:51 , 258.62872 , 13.05929
2016-Dec-04 18:52 , 255.91475 , 23.24726
2016-Dec-04 18:53 , 249.70663 , 37.32829
2016-Dec-04 18:54 , 233.76427 , 54.92567
2016-Dec-04 18:55 , 190.35733 , 67.10786
2016-Dec-04 18:56 , 143.79238 , 61.2099
2016-Dec-04 18:57 , 126.05222 , 49.96893
2016-Dec-04 18:58 , 119.20423 , 40.69126
2016-Dec-04 18:59 , 116.15286 , 33.55632
2016-Dec-04 19:00 , 114.76757 , 27.93253
2016-Dec-04 19:01 , 114.24659 , 23.3258
2016-Dec-04 19:02 , 114.22879 , 19.41415
2016-Dec-04 19:03 , 114.52955 , 15.99133
2016-Dec-04 19:04 , 115.04552 , 12.92281
2016-Dec-04 19:05 , 115.71483 , 10.11841
2016-Dec-04 19:06 , 116.49854 , 7.51606
2016-Dec-04 19:07 , 117.37123 , 5.07194
2016-Dec-04 19:08 , 118.31588 , 2.75444
2016-Dec-04 19:09 , 119.32084 , 0.54033
2016-Dec-04 19:10 , 120.37817 , -1.58776
