DATE,RA,DEC
2016-Dec-04 18:40 , 249.10367 , -25.29082
2016-Dec-04 18:41 , 250.60391 , -23.19455
2016-Dec-04 18:42 , 251.99808 , -20.94911
2016-Dec-04 18:43 , 253.2765 , -18.52657
2016-Dec-04 18:44 , 254.42475 , -15.88833
2016-Dec-04 18:45 , 255.42131 , -12.98034
2016-Dec-04 18:46 , 256.23375 , -9.72551
2016-Dec-04 18:47 , 256.81204 , -6.01163
2016-Dec-04 18:48 , 257.07645 , -1.67152
2016-Dec-04 18:49 , 256.8938 , 3.54896
2016-Dec-04 18:50 , 256.02724 , 10.03997
2016-Dec-04 18:51 , 254.01858 , 18.38444
2016-Dec-04 18:52 , 249.87597 , 29.33085
2016-Dec-04 18:53 , 241.12621 , 43.25652
2016-Dec-04 18:54 , 220.99061 , 57.95739
2016-Dec-04 18:55 , 180.65335 , 64.94535
2016-Dec-04 18:56 , 145.39886 , 59.32142
2016-Dec-04 18:57 , 129.41966 , 50.10142
2016-Dec-04 18:58 , 122.25622 , 41.92924
2016-Dec-04 18:59 , 118.73362 , 35.27864
2016-Dec-04 19:00 , 116.9533 , 29.83743
2016-Dec-04 19:01 , 116.12205 , 25.27342
2016-Dec-04 19:02 , 115.86042 , 21.34052
2016-Dec-04 19:03 , 115.96676 , 17.86824
2016-Dec-04 19:04 , 116.32506 , 14.73922
2016-Dec-04 19:05 , 116.8644 , 11.87162
2016-Dec-04 19:06 , 117.53939 , 9.20739
2016-Dec-04 19:07 , 118.31992 , 6.70456
2016-Dec-04 19:08 , 119.18549 , 4.33227
2016-Dec-04 19:09 , 120.12188 , 2.06746
2016-Dec-04 19:10 , 121.11913 , -0.1073
